Time,Status 1,Status 2,LA_RA,
0,128,128,-7.058327443,
8,128,128,-7.073977837,
16,128,128,-7.084940324,
24,128,128,-7.05904866,
32,128,128,-7.064313539,
40,128,128,-7.074771175,
48,128,128,-7.053783781,
56,128,128,-7.064097174,
64,128,128,-7.0608517,
72,128,128,-7.039647942,
80,128,128,-7.037556414,
88,128,128,-7.024790886,
96,128,128,-7.034527306,
104,128,128,-6.991831302,
112,128,128,-7.028324846,
120,128,128,-7.003587127,
128,128,128,-7.024286035,
136,128,128,-7.025439981,
144,128,128,-7.070371755,
152,128,128,-7.042965536,
160,128,128,-7.076934824,
168,128,128,-7.071597823,
176,128,128,-7.079026351,
184,128,128,-7.057173497,
192,128,128,-7.075997242,
